WASHINGTON CONGRESSIONAL DISTRICTS BY SCHOOL DISTRICTS
 
Note: If there are two different school districts in the same state with the same name, the
county name is added in parentheses after the school district name to distinguish them.
 
School District                                                                           109th Congressional District
 
ABERDEEN                                                                                  6                             
ADNA                                                                                      3                             
ALMIRA                                                                                    4,5                           
ANACORTES                                                                                 2                             
ARLINGTON                                                                                 2                             
ASOTIN-ANATONE                                                                            5                             
AUBURN                                                                                    8,9                           
BAINBRIDGE ISLAND                                                                         1                             
BATTLE GROUND                                                                             3                             
BELLEVUE                                                                                  8                             
BELLINGHAM                                                                                2                             
BENGE                                                                                     5                             
BETHEL                                                                                    6,8,9                         
BICKLETON                                                                                 4                             
BLAINE                                                                                    2                             
BOISTFORT                                                                                 3                             
BREMERTON                                                                                 1,6                           
BREWSTER                                                                                  4,5                           
BRIDGEPORT                                                                                4,5                           
BRINNON                                                                                   6                             
BURLINGTON-EDISON                                                                         2                             
CAMAS                                                                                     3                             
CAPE FLATTERY                                                                             6                             
CARBONADO                                                                                 8                             
CASCADE                                                                                   4                             
CASHMERE                                                                                  4                             
CASTLE ROCK                                                                               3                             
CENTERVILLE                                                                               4                             
CENTRAL KITSAP                                                                            1,6                           
CENTRAL VALLEY                                                                            5                             
CENTRALIA                                                                                 3                             
CHEHALIS                                                                                  3                             
CHENEY                                                                                    5                             
CHEWELAH                                                                                  5                             
CHIMACUM                                                                                  6                             
CLARKSTON                                                                                 5                             
CLE ELUM-ROSLYN                                                                           4                             
CLOVER PARK                                                                               6,9                           
COLFAX                                                                                    5                             
COLLEGE PLACE                                                                             5                             
COLTON                                                                                    5                             
COLUMBIA (STEV)                                                                           5                             
COLUMBIA (WALLA)                                                                          5                             
COLVILLE                                                                                  5                             
CONCRETE                                                                                  2                             
CONWAY                                                                                    2                             
COSMOPOLIS                                                                                6                             
COULEE-HARTLINE                                                                           4                             
COUPEVILLE                                                                                2                             
CRESCENT                                                                                  6                             
CRESTON                                                                                   5                             
CURLEW                                                                                    5                             
CUSICK                                                                                    5                             
DAMMAN                                                                                    4                             
DARRINGTON                                                                                2                             
DAVENPORT                                                                                 5                             
DAYTON                                                                                    5                             
DEER PARK                                                                                 5                             
DIERINGER                                                                                 8,9                           
DIXIE                                                                                     5                             
EAST VALLEY (SPK)                                                                         5                             
EAST VALLEY (YAK)                                                                         4                             
EASTMONT                                                                                  4                             
EASTON                                                                                    4                             
EATONVILLE                                                                                8,9                           
EDMONDS                                                                                   1                             
ELLENSBURG                                                                                4                             
ELMA                                                                                      6                             
ENDICOTT                                                                                  5                             
ENTIAT                                                                                    4                             
ENUMCLAW                                                                                  8                             
EPHRATA                                                                                   4                             
EVALINE                                                                                   3                             
EVERETT                                                                                   1,2                           
EVERGREEN (CLARK)                                                                         3                             
EVERGREEN (STEV)                                                                          5                             
FEDERAL WAY                                                                               9                             
FERNDALE                                                                                  2                             
FIFE                                                                                      6,9                           
FINLEY                                                                                    4                             
FRANKLIN PIERCE                                                                           6,8,9                         
FREEMAN                                                                                   5                             
GARFIELD                                                                                  5                             
GLENWOOD                                                                                  4                             
GOLDENDALE                                                                                4                             
GRAND COULEE                                                                              4,5                           
GRANDVIEW                                                                                 4                             
GRANGER                                                                                   4                             
GRANITE FALLS                                                                             2                             
GRAPEVIEW                                                                                 6                             
GREAT NORTHERN                                                                            5                             
GREEN MOUNTAIN                                                                            3                             
GRIFFIN                                                                                   3                             
HARRINGTON                                                                                5                             
HIGHLAND                                                                                  4                             
HIGHLINE                                                                                  7,9                           
HOCKINSON                                                                                 3                             
HOOD CANAL                                                                                6                             
HOQUIAM                                                                                   6                             
INCHELIUM                                                                                 5                             
