Common Core of Data CD-ROM -- School Years 1996-1997 through 1999-2000
School Year 1998-99 Public School Universe data
Corrections to Agency Locale Codes
using Version 1c of the Public School Universe data files, dated June 2001

                                                          |     Locale Code     |
                                                          | ------------------- |
NCES ID Agency                                            | Value in  Corrected |
Agency  Name                                              |  CD-ROM     value   |
------- --------------------------------------------------| --------  --------- |
                                                          |                     |
0100420 BLOUNT COUNTY SCH DIST                            |     7         8     |
0100840 COLBERT COUNTY SCH DIST                           |     4         8     |
0101050 DALE COUNTY SCH DIST                              |     7         4     |
0101770 HOUSTON COUNTY SCH DIST                           |     7         8     |
0101920 JEFFERSON COUNTY SCH DIST                         |     3         2     |
0102010 LAUDERDALE COUNTY SCH DIST                        |     7         8     |
0103062 SAINT CLAIR COUNTY SCH DIST                       |     7         8     |
0400021 COLORADO CITY UNIFIED DISTRICT                    |     7         8     |
0400083 PPEP TEC HIGH SCHOOL                              |     1         2     |
0400116 CASA BLANCA MIDDLE SCHOOL                         |     7         3     |
0400480 AGUILA ELEMENTARY DISTRICT                        |     7         3     |
0400720 ANTELOPE UNION HIGH SCH DIST                      |     7         8     |
0400840 ARLINGTON ELEMENTARY DISTRICT                     |     7         3     |
0401710 CASA GRANDE ELEMENTARY DIST                       |     7         3     |
0401740 CASA GRANDE UNION HIGH DIST                       |     7         3     |
0402010 CHLORIDE ELEMENTARY DISTRICT                      |     7         8     |
0402250 CONTINENTAL ELEMENTARY DIST                       |     7         3     |
0403080 FREDONIA MOCCASIN UNIFIED DIST                    |     7         8     |
0403240 GADSDEN ELEMENTARY DISTRICT                       |     7         4     |
0403310 GILA BEND UNIFIED DISTRICT                        |     7         8     |
0403550 GRAND CANYON UNIFIED DISTRICT                     |     7         4     |
0403900 HYDER ELEMENTARY DISTRICT                         |     7         4     |
0404290 LAVEEN ELEMENTARY DISTRICT                        |     7         2     |
0404410 LITTLEFIELD ELEMENTARY DIST                       |     7         3     |
0404440 LITTLETON ELEMENTARY DISTRICT                     |     7         3     |
0404530 MAINE CONSOL ELEMENTARY DIST                      |     7         4     |
0404720 MARICOPA UNIFIED SCHOOL DIST                      |     7         3     |
0404770 ALTAR VALLEY ELEMENTARY DIST                      |     7         3     |
0405100 MOBILE ELEMENTARY DISTRICT                        |     7         3     |
0405220 MOHAWK VALLEY ELEMENTARY DIST                     |     7         4     |
0405340 MORRISTOWN ELEMENTARY DISTRICT                    |     7         3     |
0405460 NADABURG ELEMENTARY DISTRICT                      |     7         3     |
0405730 OWENS WHITNEY ELEM DIST                           |     7         3     |
0405850 PALO VERDE ELEMENTARY DISTRICT                    |     7         3     |
0406120 PEACH SPRINGS UNIFIED DIST                        |     7         8     |
0406360 PICACHO ELEMENTARY DISTRICT                       |     7         3     |
0406850 RAY UNIFIED DISTRICT                              |     7         8     |
0406900 RED ROCK ELEMENTARY DISTRICT                      |     7         3     |
0407170 RUTH FISHER ELEMENTARY DIST                       |     7         3     |
0407200 SACATON ELEMENTARY DISTRICT                       |     7         8     |
0407300 SAHUARITA UNIFIED DISTRICT                        |     7         3     |
0407680 SENTINEL ELEMENTARY DISTRICT                      |     7         4     |
0407820 SNOWFLAKE UNIFIED DISTRICT                        |     6         3     |
0408130 STANFIELD ELEMENTARY DISTRICT                     |     7         3     |
0408430 PALOMA ELEMENTARY DISTRICT                        |     7         8     |
0408640 TOPOCK ELEMENTARY DISTRICT                        |     7         3     |
0408850 VAIL ELEMENTARY DISTRICT                          |     8         3     |
0408880 VALENTINE ELEMENTARY DISTRICT                     |     7         8     |
0409090 WELLTON ELEMENTARY DISTRICT                       |     7         8     |

                                                          |     Locale Code     |
                                                          | ------------------- |
NCES ID Agency                                            | Value in  Corrected |
Agency  Name                                              |  CD-ROM     value   |
------- --------------------------------------------------| --------  --------- |
0409570 YUCCA ELEMENTARY DISTRICT                         |     7         3     |
0500012 RIVERSIDE SCHOOL DISTRICT                         |     7         8     |
0502330 ALTHEIMER UNIFIED SCHOOL DISTRICT                 |     7         8     |
0502790 BAUXITE SCHOOL DISTRICT                           |     7         8     |
0502820 BAY SCHOOL DISTRICT                               |     7         8     |
0503030 PEA RIDGE SCHOOL DISTRICT                         |     7         8     |
0503570 BRIGHT STAR SCHOOL DISTRI                         |     7         4     |
0503640 BROOKLAND SCHOOL DISTRICT                         |     7         8     |
0503710 BUFFALO ISLAND CENTRAL SCHOOL DISTRICT            |     7         4     |
0503960 CARLISLE SCHOOL DISTRICT                          |     7         8     |
0504080 CEDARVILLE SCHOOL DISTRICT                        |     7         4     |
0504770 CRAWFORDSVILLE SCHOOL DIS                         |     7         8     |
0504980 DECATUR SCHOOL DISTRICT                           |     7         8     |
0505760 ELKINS SCHOOL DIST #10                            |     7         8     |
0506360 FOUKE SCHOOL DISTRICT                             |     7         8     |
0507140 GUYPERKINS SCHOOLS                                |     7         8     |
0507410 HARTFORD DISTRICT #94                             |     7         8     |
0508730 LAVACA PUBLIC SCHOOLS                             |     7         8     |
0508940 LINCOLN SCHOOL DISTRICT                           |     7         8     |
0509330 MANSFIELD SCHOOL DISTRICT                         |     7         8     |
0509540 MAYFLOWER  SCHOOL DISTRICT                        |     7         8     |
0510080 MT.VERNONENOLA SCHOOL DISTRICT                    |     7         8     |
0510260 MOUNTAINBURG SCHOOLS                              |     7         8     |
0510290 MULBERRY  SCHOOL DISTRICT                         |     7         8     |
0511760 PRAIRIE GROVE SCHOOL DISTRICT                     |     7         8     |
0513260 TURRELL SCHOOL DISTRICT                           |     7         8     |
0513530 VILONIA SCHOOL DISTRICT                           |     7         8     |
0513860 WINSLOW SCHOOL DISTRICT                           |     7         8     |
0600001 ACTON-AGUA DULCE UNIFIED                          |     7         8     |
0600009 CUYAMA JOINT UNIFIED                              |     7         4     |
0600023 CHAWANAKEE JT. ELEMENTARY                         |     7         3     |
0600026 EL TEJON UNIFIED                                  |     7         4     |
0600031 PACIFIC UNIFIED                                   |     7         4     |
0600041 MINARETS JT. UNION HIGH                           |     7         3     |
0600042 WARNER UNIFIED                                    |     7         3     |
0602010 ALPAUGH UNIFIED                                   |     7         4     |
0602250 ALTA-DUTCH FLAT UNION ELEMENTA                    |     7         3     |
0603060 ARCOHE UNION ELEMENTARY                           |     7         3     |
0603610 BAKER VALLEY UNIFIED                              |     7         3     |
0604350 BELLA VISTA ELEMENTARY                            |     7         4     |
0604560 BELRIDGE ELEMENTARY                               |     7         4     |
0604860 BIG CREEK ELEMENTARY                              |     7         3     |
0605040 BIGGS UNIFIED                                     |     7         8     |
0605240 BLACK OAK MINE UNIFIED                            |     7         3     |
0605250 BLAKE ELEMENTARY                                  |     7         4     |
0605520 BOLINAS-STINSON UNION ELEMENTA                    |     7         8     |
0605730 BRADLEY UNION ELEMENTARY                          |     7         4     |
0606960 CALIENTE UNION ELEMENTARY                         |     7         4     |
0607260 CAMPTONVILLE ELEMENTARY                           |     7         4     |
0607350 CANYON ELEMENTARY                                 |     7         3     |
0607620 CARUTHERS UNION ELEMENTARY                        |     7         8     |
0607650 CARUTHERS UNION HIGH                              |     7         8     |
0607710 CASMALIA ELEMENTARY                               |     7         4     |
0608580 CHUALAR UNION ELEMENTARY                          |     7         4     |

                                                          |     Locale Code     |
                                                          | ------------------- |
NCES ID Agency                                            | Value in  Corrected |
Agency  Name                                              |  CD-ROM     value   |
------- --------------------------------------------------| --------  --------- |
0609300 COLFAX ELEMENTARY                                 |     7         8     |
0609510 COLUMBINE ELEMENTARY                              |     7         4     |
0609990 COTTONWOOD UNION ELEMENTARY                       |     7         8     |
0610380 CUTTEN ELEMENTARY                                 |     6         7     |
0611100 DESERT CENTER UNIFIED                             |     7         3     |
0611550 DUCOR UNION ELEMENTARY                            |     7         4     |
0612360 ELK HILLS ELEMENTARY                              |     7         4     |
0612660 EMIGRANT GAP ELEMENTARY                           |     7         3     |
0612690 EMPIRE UNION ELEMENTARY                           |     2         4     |
0613710 FEATHER FALLS UNION ELEMENTARY                    |     7         4     |
0614490 FRENCH GULCH-WHISKEYTOWN ELEME                    |     7         4     |
0615600 GORMAN ELEMENTARY                                 |     7         3     |
0616830 HEBER ELEMENTARY                                  |     6         7     |
0616860 HELENDALE ELEMENTARY                              |     7         3     |
0617580 HORICON ELEMENTARY                                |     7         3     |
0617640 HOT SPRINGS ELEMENTARY                            |     7         4     |
0618270 INDIAN SPRINGS ELEMENTARY                         |     7         4     |
0619320 KELSEYVILLE UNIFIED                               |     6         7     |
0620160 LA GRANGE ELEMENTARY                              |     7         4     |
0620220 LA HONDA-PESCADERO UNIFIED                        |     7         3     |
0620520 LAGUNITAS ELEMENTARY                              |     7         3     |
0622620 LOS ALAMOS ELEMENTARY                             |     7         4     |
0622920 LOS OLIVOS ELEMENTARY                             |     7         4     |
0624300 MCKINLEYVILLE UNION ELEMENTARY                    |     6         7     |
0624930 MILLVILLE ELEMENTARY                              |     7         4     |
0625650 MONTGOMERY ELEMENTARY                             |     7         3     |
0626340 MT. BALDY JOINT ELEMENTARY                        |     7         3     |
0626970 NEW HOPE ELEMENTARY                               |     7         4     |
0627040 MOUNTAIN UNION ELEMENTARY                         |     7         4     |
0627120 NEWCASTLE ELEMENTARY                              |     7         3     |
0627300 NICASIO ELEMENTARY                                |     7         3     |
0627870 OAK RUN ELEMENTARY                                |     7         4     |
0628650 ORANGE UNIFIED                                    |     3         2     |
0628950 ORO GRANDE ELEMENTARY                             |     7         3     |
0629340 PACIFIC ELEMENTARY                                |     7         3     |
0630060 PAUMA ELEMENTARY                                  |     7         3     |
0630120 PENRYN ELEMENTARY                                 |     7         3     |
0630630 PIXLEY UNION ELEMENTARY                           |     7         8     |
0631350 POND UNION ELEMENTARY                             |     7         4     |
0631680 RAISIN CITY ELEMENTARY                            |     7         3     |
0632340 KASHIA ELEMENTARY                                 |     7         3     |
0632430 RICHGROVE ELEMENTARY                              |     7         8     |
0633110 RIVER DELTA JOINT UNIFIED                         |     7         3     |
0634050 SAN ANTONIO UNION ELEMENTARY                      |     7         4     |
0634080 SAN ARDO UNION ELEMENTARY                         |     7         4     |
0634770 SAN LUCAS UNION ELEMENTARY                        |     7         4     |
0636360 SEQUOIA UNION ELEMENTARY                          |     7         4     |
0636570 SHASTA UNION ELEMENTARY                           |     7         4     |
0636670 SHORELINE UNIFIED                                 |     7         3     |
0636810 SILVER FORK ELEMENTARY                            |     7         3     |
0636820 SILVER VALLEY UNIFIED                             |     7         3     |
0636960 SNELLING-MERCED FALLS UNION EL                    |     7         4     |
0636990 SOLANA BEACH ELEMENTARY                           |     3         2     |
0637350 SOUTH BAY UNION ELEMENTARY                        |     6         7     |

                                                          |     Locale Code     |
                                                          | ------------------- |
NCES ID Agency                                            | Value in  Corrected |
Agency  Name                                              |  CD-ROM     value   |
------- --------------------------------------------------| --------  --------- |
0637680 SPENCER VALLEY ELEMENTARY                         |     7         3     |
0637710 SPRECKELS UNION ELEMENTARY                        |     7         4     |
0638130 STRATHMORE UNION ELEMENTARY                       |     7         8     |
0639600 TRAVER JOINT ELEMENTARY                           |     7         4     |
0641220 VISTA DEL MAR UNION ELEMENTARY                    |     7         4     |
0642210 WESTSIDE ELEMENTARY                               |     7         3     |
0642330 WHEATLAND ELEMENTARY                              |     7         8     |
0642350 WHEATLAND UNION HIGH                              |     7         8     |
0642420 WHITMORE UNION ELEMENTARY                         |     7         4     |
0691063 DEL NORTE CO. OFFICE OF EDUCAT                    |     6         7     |
0691134 GOLDEN PLAINS UNIFIED                             |     7         3     |
0691137 BIG OAK FLAT-GROVELAND UNIFIED                    |     6         7     |
0802310 AULT-HIGHLAND       RE-9                          |     7         8     |
0802550 BRIGGSDALE          RE-10                         |     7         3     |
0802730 CALHAN RJ-1                                       |     7         8     |
0803030 PLATEAU VALLEY      50                            |     7         8     |
0803240 DE BEQUE            49JT                          |     7         8     |
0803270 DEER TRAIL          26J                           |     7         8     |
0804200 GILCREST            RE-1                          |     7         8     |
0804440 PAWNEE              RE-12                         |     7         8     |
0804830 JOHNSTOWN-MILLIKEN  RE-5J                         |     7         8     |
0804920 KEENESBURG          RE-3(J)                       |     7         8     |
0804950 PLATTE VALLEY       RE-7                          |     7         8     |
0806060 PEYTON              23 JT                         |     7         3     |
0806150 PUEBLO COUNTY RURAL 70                            |     4         8     |
0806720 PRAIRIE             RE-11                         |     7         8     |
0806750 STRASBURG           31J                           |     7         3     |
0900150 BARKHAMSTED SCHOOL DISTRICT                       |     6         8     |
0900360 BOLTON SCHOOL DISTRICT                            |     6         8     |
0900900 COLUMBIA SCHOOL DISTRICT                          |     6         8     |
0901080 DEEP RIVER SCHOOL DISTRICT                        |     6         7     |
0901200 EAST HADDAM SCHOOL DISTRICT                       |     7         8     |
0902760 NEW HARTFORD SCHOOL DISTRICT                      |     6         8     |
0903480 PUTNAM SCHOOL DISTRICT                            |     6         7     |
0903510 REDDING SCHOOL DISTRICT                           |     6         8     |
1200390 DADE COUNTY SCHOOL DISTRICT                       |     7         3     |
1200540 FLAGLER COUNTY SCHOOL DISTRICT                    |     7         8     |
1200930 INDIAN RIVER COUNTY SCHOOL DISTRICT               |     6         7     |
1201650 SANTA ROSA COUNTY SCHOOL DISTRICT                 |     4         8     |
1300930 CATOOSA COUNTY                                    |     7         4     |
1301050 CHATTAHOOCHEE COUNTY                              |     7         8     |
1301590 DADE COUNTY                                       |     7         8     |
1301740 DEKALB COUNTY                                     |     3         2     |
1301980 EFFINGHAM COUNTY                                  |     7         8     |
1302280 FULTON COUNTY                                     |     3         2     |
1302820 HENRY COUNTY                                      |     3         8     |
1303150 JONES COUNTY                                      |     7         8     |
1303270 LEE COUNTY                                        |     7         8     |
1303480 MADISON COUNTY                                    |     7         8     |
1304110 PICKENS COUNTY                                    |     7         8     |
1305220 TWIGGS COUNTY                                     |     7         8     |
1500030 HAWAII DEPARTMENT OF EDUCATION                    |     3         2     |
1600930 BONNEVILLE JOINT SCHOOL DISTRICT 93               |     6         7     |
1601950 MARSH VALLEY JOINT SCHOOL DISTRICT 21             |     7         8     |

                                                          |     Locale Code     |
                                                          | ------------------- |
NCES ID Agency                                            | Value in  Corrected |
Agency  Name                                              |  CD-ROM     value   |
------- --------------------------------------------------| --------  --------- |
1602070 MELBA JOINT SCHOOL DISTRICT 136                   |     7         8     |
1602550 PARMA SCHOOL DISTRICT 137                         |     7         8     |
1603480 WILDER SCHOOL DISTRICT 133                        |     7         8     |
1700058 LAKE CO H S TECHNOLOGY CAMPUS                     |     6         8     |
1700106 HERITAGE COMM UNIT SCH DIST 8                     |     7         8     |
1700109 RIDGEVIEW COMM UNIT SCH DIST 19                   |     7         8     |
1700123 MERIDIAN COMM UNIT SCH DIST 15                    |     7         8     |
1700195 LEE/OGLE ROE                                      |     7         4     |
1700196 LOGAN/MASON/MENARD ROE                            |     7         8     |
1703270 ALBERS SCHOOL DISTRICT 63                         |     7         8     |
1703660 ALWOOD COMM UNIT SCH DIST 225                     |     7         8     |
1703810 ANNAWAN COMM UNIT SCH DIST 226                    |     7         8     |
1703990 ARGENTA-OREANA COMM UNIT SCH D 1                  |     7         8     |
1704470 ATHENS COMM UNIT SCH DIST 213                     |     7         8     |
1704740 AVISTON SCHOOL DISTRICT 21                        |     7         8     |
1705160 BARTELSO SCHOOL DISTRICT 57                       |     7         8     |
1705430 BEECHER C U SCH DIST 200U                         |     7         8     |
1706840 BRACEVILLE SCHOOL DIST 75                         |     7         8     |
1707200 BRIMFIELD C U SCHOOL DIST 309                     |     7         8     |
1707830 CENTRAL COMM UNIT SCH DIST 301                    |     7         8     |
1708010 BYRON COMM UNIT SCHOOL DIST 226                   |     7         8     |
1709850 CHESTER-EAST LINCOLN CCS DIST 61                  |     6         7     |
1711220 CRESTON COMM CONS SCHOOL DIST 161                 |     7         8     |
1711880 DEER CREEK-MACKINAW CUSD 701                      |     7         8     |
1712300 DIVERNON C U SCHOOL DIST 13                       |     7         8     |
1712700 DUNLAP C U SCHOOL DIST 323                        |     7         8     |
1713920 TRI VALLEY C U SCHOOL DISTRICT 3                  |     7         8     |
1714160 ELWOOD C C SCH DIST 203                           |     7         8     |
1714410 ESWOOD C C DISTRICT 269                           |     7         4     |
1714430 EUREKA C U DIST 140                               |     4         8     |
1715180 FISHER C U SCHOOL DISTRICT 1                      |     7         8     |
1715490 FORRESTVILLE VALLEY C U S D 221                   |     7         8     |
1716230 GARDNER COMM CONS SCH DIST 72C                    |     7         8     |
1716260 GARDNER S WILMINGTON THS DIST 73                  |     7         8     |
1716290 GAVIN SCHOOL DIST 37                              |     7         3     |
1716530 GERMANTOWN SCHOOL DISTRICT 60                     |     7         8     |
1717370 GRANT PARK C U  SCHOOL DIST 6                     |     7         8     |
1717700 GREENVIEW C U SCH DIST 200                        |     7         8     |
1717760 GRIDLEY C U SCH DIST 10                           |     7         8     |
1718840 HERSCHER COMM UNIT SCH DIST 2                     |     7         8     |
1718870 HEYWORTH C U SCH DIST 4                           |     7         8     |
1719260 HINCKLEY BIG ROCK C U S D 429                     |     7         8     |
1719960 ILLINI BLUFFS CU SCH DIST 327                     |     7         8     |
1719980 ILLIOPOLIS C U SCHOOL DIST 12                     |     7         8     |
1721300 HIAWATHA C U SCHOOL DIST 426                      |     7         8     |
1722710 LEXINGTON C U SCH DIST 7                          |     7         8     |
1723310 LIVINGSTON C C SCHOOL DIST 4                      |     7         8     |
1723700 LUDLOW C C SCHOOL DIST 142                        |     7         8     |
1724190 MALTA COMM UNIT SCH DIST 433                      |     7         8     |
1724750 MAROA FORSYTH C U SCH DIST 2                      |     7         8     |
1725190 MAZON-VERONA-KINSMAN ESD 2C                       |     7         8     |
1725690 MERIDIAN C U SCH DIST 223                         |     7         8     |
1727990 COMMUNITY UNIT SCHOOL DIST 16                     |     7         8     |
1728270 NEWARK COMM CONS SCH DIST 66                      |     7         3     |

                                                          |     Locale Code     |
