E0000046|A-1|A1|
E0000050|A.A.M.D.|AAMD|
E0000081|AIDS related complex|AIDS-related complex|
E0000098|ANLL|ANL|
E0000148|Aceclidin|Aceclidine|
E0000154|act|Act|
E0000155|active vertical corrector|Active Vertical Corrector|
E0000158|Adams Stokes disease|Adams-Stokes disease|
E0000163|adriamycin|Adriamycin|
E0000164|adriamycinol|Adriamycinol|
E0000181|Ancistrodon|Agkistrodon|
E0000202|alcian blue|Alcian blue|
E0000212|Alexander Trallianus|Alexander of Tralles|
E0000225|Alk. Phos.|Alk. phos.|
E0000225|alk. phos.|Alk. phos.|
E0000234|AluI|Alu I|
E0000239|alzheimer-type|Alzheimer-type|
E0000353|American-type culture collection|American type culture collection|
E0000360|Anabaena|Anabena|
E0000379|angora|Angora|
E0000381|antarctic|Antarctic|
E0000382|antarctic|Antarctic|
E0000389|apartheid|Apartheid|
E0000401|Apressoline|Apresoline|
E0000423|AraA|Ara A|
E0000423|ara A|Ara A|
E0000423|ara-A|Ara A|
E0000423|araA|Ara A|
E0000428|archbishop|Archbishop|
E0000432|arechine|Arechine|
E0000437|Argyll-Robertson pupil|Argyll Robertson pupil|
E0000538|Asulfidine|Azulfidine|
E0000538|Azulfadine|Azulfidine|
E0000546|AAA|A.A.A.|
E0000552|AADS|A.A.D.S.|
E0000578|ACOS|A.C.O.S.|
E0000588|AGS|A.G.S.|
E0000592|AI|A.I.|
E0000636|A. U.|A.U.|
E0000638|B-12|B12|
E0000638|b12|B12|
E0000640|b16 melanoma|B16 melanoma|
E0000642|b5|B5|
E0000648|B.B.B.|BBB|
E0000688|B.S.|BS|
E0000712|bacillus Calmette-Guerin|Bacillus Calmette-Guerin|
E0000754|banting|Banting|
E0000758|baoshen wan|Baoshen Wan|
E0000773|Barlows syndrome|Barlow's syndrome|
E0000782|Bartholin gland|Bartholin's gland|
E0000789|Bartter disease|Bartter's disease|
E0000790|Basedow disease|Basedow's disease|
E0000819|baygon|Baygon|
E0000845|Bechterew disease|Bechterew's disease|
E0000857|Beduin|Bedouin|
E0000857|bedouin|Bedouin|
E0000857|beduin|Bedouin|
E0000863|Behcet syndrome|Behcet's syndrome|
E0000863|Behcets syndrome|Behcet's syndrome|
E0000866|Bechterew's arthritis|Bekhterev's arthritis|
E0000866|Bekhterew's arthritis|Bekhterev's arthritis|
E0000868|Bechterew's nucleus|Bekhterev's nucleus|
E0000877|Bell palsy|Bells palsy|
E0000877|Bell's palsy|Bells palsy|
E0000885|Bence-Jones protein|Bence Jones protein|
E0000887|Bence Jones protein Den|Bence Jones protein den|
E0000920|Bernard Soulier syndrome|Bernard-Soulier syndrome|
E0000932|Berotek|Berotec|
E0001057|Bolivian haemorrhagic fever virus|Bolivian hemorrhagic fever virus|
E0001090|braille|Braille|
E0001096|Brasil|Brazil|
E0001109|Brill-Symmers' disease|Brill-Symmers disease|
E0001123|British pharmacopeia|British pharmacopoeia|
E0001130|Broca's aphasia|Broca aphasia|
E0001166|Buerger disease|Buerger's disease|
E0001182|Burns's amaurosis|Burns' amaurosis|
E0001185|Buschke's scleroedema|Buschke's scleredema|
E0001195|Belorussian S.S.R.|Byelorussian S.S.R.|
E0001204|B-cell|B cell|
E0001206|B fibre|B fiber|
E0001206|B-fiber|B fiber|
E0001206|B-fibre|B fiber|
E0001207|B-lymphocyte|B lymphocyte|
E0001211|b-chain|B-chain|
E0001223|B.Th.U|B.T.U.|
E0001223|BTU|B.T.U.|
E0001223|Btu|B.T.U.|
E0001248|cALLA|CALLA|
E0001248|cALLa|CALLA|
E0001313|cmc|CMC|
E0001315|CMRglc|CMRGL|
E0001315|CMRglu|CMRGL|
E0001315|cmrgl|CMRGL|
E0001316|CMRO2|CMRO|
E0001316|cmro|CMRO|
E0001317|cmv|CMV|
E0001318|cnbr|CNBR|
